SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22016,1713,0021601161,"APR 04, 2017",MEM @ SAS,L,27,3,4,0.75,2,3,0.667,0,0,0.0,0,2,2,2,0,0,2,1,8,-2,1
22016,1713,0021601101,"MAR 27, 2017",MEM @ SAC,L,28,2,7,0.286,1,3,0.333,2,2,1.0,2,2,4,0,0,1,0,2,7,-4,1
22016,1713,0021601094,"MAR 26, 2017",MEM @ GSW,L,34,4,7,0.571,1,3,0.333,0,0,0.0,1,2,3,2,1,0,1,2,9,-16,1
22016,1713,0021601070,"MAR 23, 2017",MEM @ SAS,L,25,3,10,0.3,3,8,0.375,0,0,0.0,1,1,2,1,1,0,0,3,9,6,1
22016,1713,0021601054,"MAR 21, 2017",MEM @ NOP,L,34,2,9,0.222,0,6,0.0,0,0,0.0,0,2,2,4,2,1,0,2,4,-27,1
22016,1713,0021601017,"MAR 16, 2017",MEM @ ATL,W,29,1,2,0.5,0,1,0.0,1,2,0.5,0,0,0,1,1,2,2,3,3,19,1
22016,1713,0021601009,"MAR 15, 2017",MEM @ CHI,W,29,3,7,0.429,1,4,0.25,0,0,0.0,1,2,3,2,0,1,1,1,7,11,1
22016,1713,0021600924,"MAR 04, 2017",MEM @ HOU,L,24,3,9,0.333,2,4,0.5,0,0,0.0,0,2,2,2,1,1,1,2,8,-11,1
22016,1713,0021600914,"MAR 03, 2017",MEM @ DAL,L,27,3,7,0.429,3,6,0.5,1,2,0.5,0,2,2,2,0,0,0,3,10,5,1
22016,1713,0021600876,"FEB 26, 2017",MEM @ DEN,W,26,2,6,0.333,0,3,0.0,2,2,1.0,0,2,2,2,1,0,2,2,6,14,1
22016,1713,0021600857,"FEB 24, 2017",MEM @ IND,L,24,3,6,0.5,2,3,0.667,3,4,0.75,1,2,3,2,1,1,1,2,11,-3,1
22016,1713,0021600822,"FEB 13, 2017",MEM @ BKN,W,20,5,8,0.625,4,5,0.8,0,0,0.0,0,3,3,1,2,0,0,1,14,5,1
22016,1713,0021600763,"FEB 04, 2017",MEM @ MIN,W,31,3,7,0.429,3,5,0.6,2,2,1.0,0,3,3,1,1,1,1,3,11,10,1
