SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22016,1713,0021601223,"APR 12, 2017",MEM vs. DAL,L,22,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,4,0,0,1,2,5,7,1
22016,1713,0021601201,"APR 09, 2017",MEM vs. DET,L,22,2,4,0.5,2,3,0.667,0,0,0.0,0,1,1,0,0,0,2,1,6,2,1
22016,1713,0021601181,"APR 07, 2017",MEM vs. NYK,W,28,4,5,0.8,4,5,0.8,0,0,0.0,0,4,4,3,1,2,0,0,12,7,1
22016,1713,0021601167,"APR 05, 2017",MEM vs. OKC,L,25,3,10,0.3,2,7,0.286,2,2,1.0,1,1,2,2,0,0,1,5,10,-4,1
22016,1713,0021601131,"MAR 31, 2017",MEM vs. DAL,W,32,1,7,0.143,1,4,0.25,0,0,0.0,1,7,8,5,1,1,3,2,3,2,1
22016,1713,0021601116,"MAR 29, 2017",MEM vs. IND,W,33,5,8,0.625,4,6,0.667,7,7,1.0,1,7,8,0,1,0,1,1,21,27,1
22016,1713,0021601033,"MAR 18, 2017",MEM vs. SAS,W,30,3,9,0.333,2,7,0.286,2,2,1.0,0,4,4,3,2,0,2,3,10,13,1
22016,1713,0021600993,"MAR 13, 2017",MEM vs. MIL,W,30,8,8,1.0,6,6,1.0,2,2,1.0,1,4,5,2,3,0,1,5,24,9,1
22016,1713,0021600981,"MAR 11, 2017",MEM vs. ATL,L,21,1,5,0.2,0,3,0.0,2,2,1.0,0,2,2,2,3,0,0,1,4,3,1
22016,1713,0021600961,"MAR 09, 2017",MEM vs. LAC,L,24,2,6,0.333,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,1,4,-17,1
22016,1713,0021600939,"MAR 06, 2017",MEM vs. BKN,L,21,1,5,0.2,1,3,0.333,0,0,0.0,1,1,2,0,1,0,1,5,3,3,1
22016,1713,0021600892,"FEB 28, 2017",MEM vs. PHX,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1
22016,1713,0021600840,"FEB 15, 2017",MEM vs. NOP,L,25,1,7,0.143,1,5,0.2,2,4,0.5,0,3,3,2,0,1,1,3,5,2,1
22016,1713,0021600803,"FEB 10, 2017",MEM vs. GSW,L,19,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,3,0,-12,1
22016,1713,0021600777,"FEB 06, 2017",MEM vs. SAS,W,24,3,9,0.333,1,5,0.2,0,1,0.0,1,5,6,2,0,4,2,2,7,-2,1
22016,1713,0021600685,"JAN 25, 2017",MEM vs. TOR,W,30,2,4,0.5,0,1,0.0,3,4,0.75,0,3,3,3,0,1,0,3,7,-2,1
22016,1713,0021600656,"JAN 21, 2017",MEM vs. HOU,L,20,1,6,0.167,0,3,0.0,6,6,1.0,1,2,3,2,0,0,0,3,8,-21,1
22016,1713,0021600644,"JAN 20, 2017",MEM vs. SAC,W,22,3,5,0.6,2,4,0.5,3,3,1.0,0,4,4,2,2,0,0,1,11,15,1
22016,1713,0021600611,"JAN 15, 2017",MEM vs. CHI,L,31,4,8,0.5,2,5,0.4,0,0,0.0,0,1,1,2,0,1,0,2,10,-1,1
22016,1713,0021600564,"JAN 08, 2017",MEM vs. UTA,W,25,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,3,1,0,0,1,3,1,1
22016,1713,0021600487,"DEC 29, 2016",MEM vs. OKC,W,22,1,3,0.333,1,2,0.5,1,2,0.5,0,2,2,4,2,2,0,5,4,13,1
22016,1713,0021600448,"DEC 23, 2016",MEM vs. HOU,W,22,5,8,0.625,4,6,0.667,0,0,0.0,0,4,4,0,0,0,0,1,14,13,1
22016,1713,0021600424,"DEC 20, 2016",MEM vs. BOS,L,15,2,5,0.4,2,4,0.5,0,0,0.0,0,2,2,2,2,1,1,1,6,1,1
22016,1713,0021600407,"DEC 18, 2016",MEM vs. UTA,L,18,2,6,0.333,1,2,0.5,1,1,1.0,1,1,2,1,0,0,1,2,6,4,1
22016,1713,0021600394,"DEC 16, 2016",MEM vs. SAC,L,18,1,5,0.2,0,4,0.0,0,2,0.0,0,6,6,1,2,0,1,2,2,2,1
22016,1713,0021600379,"DEC 14, 2016",MEM vs. CLE,W,19,2,4,0.5,2,3,0.667,0,0,0.0,1,4,5,2,0,0,0,2,6,21,1
22016,1713,0021600257,"NOV 28, 2016",MEM vs. CHA,L,20,2,9,0.222,1,6,0.167,3,4,0.75,0,2,2,1,3,0,3,2,8,-15,1
22016,1713,0021600233,"NOV 25, 2016",MEM vs. MIA,L,16,2,7,0.286,1,4,0.25,2,2,1.0,1,4,5,0,1,0,1,3,7,-4,1
