SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22018,1713,0021801202,"APR 07, 2019",ATL @ MIL,L,31,1,10,0.1,0,7,0.0,3,3,1.0,1,8,9,2,0,1,1,4,5,11,1
22018,1713,0021801181,"APR 05, 2019",ATL @ ORL,L,22,3,6,0.5,3,5,0.6,2,2,1.0,0,0,0,1,1,2,2,1,11,-3,1
22018,1713,0021801162,"APR 02, 2019",ATL @ SAS,L,28,3,5,0.6,0,2,0.0,2,2,1.0,1,1,2,5,0,0,1,0,8,-10,1
22018,1713,0021801113,"MAR 26, 2019",ATL @ NOP,W,19,4,10,0.4,4,8,0.5,0,0,0.0,0,3,3,2,0,1,1,2,12,2,1
22018,1713,0021801046,"MAR 17, 2019",ATL @ ORL,L,27,3,8,0.375,2,6,0.333,0,0,0.0,0,0,0,3,2,0,0,1,8,2,2
22018,1713,0021801034,"MAR 16, 2019",ATL @ BOS,L,21,6,11,0.545,4,6,0.667,0,0,0.0,2,1,3,0,1,0,1,2,16,0,2
22018,1713,0021800953,"MAR 04, 2019",ATL @ MIA,L,26,7,14,0.5,7,11,0.636,0,0,0.0,0,4,4,1,1,0,0,1,21,1,1
22018,1713,0021800946,"MAR 03, 2019",ATL @ CHI,W,12,1,5,0.2,1,3,0.333,0,0,0.0,0,0,0,3,1,0,0,1,3,6,1
22018,1713,0021800903,"FEB 25, 2019",ATL @ HOU,L,13,3,7,0.429,2,4,0.5,0,0,0.0,0,2,2,0,0,0,2,4,8,-5,1
22018,1713,0021800791,"FEB 04, 2019",ATL @ WAS,W,16,6,8,0.75,4,6,0.667,0,0,0.0,0,0,0,2,2,0,1,3,16,-2,1
22018,1713,0021800784,"FEB 02, 2019",ATL @ PHX,W,4,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,1,1
22018,1713,0021800773,"FEB 01, 2019",ATL @ UTA,L,13,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-11,1
22018,1713,0021800762,"JAN 30, 2019",ATL @ SAC,L,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4,1
22018,1713,0021800748,"JAN 28, 2019",ATL @ LAC,W,7,2,3,0.667,1,2,0.5,0,0,0.0,0,4,4,2,0,0,1,0,5,11,1
22018,1713,0021800734,"JAN 26, 2019",ATL @ POR,L,15,2,5,0.4,2,4,0.5,0,2,0.0,1,3,4,1,0,1,0,1,6,1,1
